accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s
0.5125742574257426,0.5276616670764691,0.7988088591103667,0.6355223217590878,-0.0176042089784743,0.0014919134555384,0.0386252955398201,0.027216712012887,-0.2547117471694946,0.5172277227722772,0.5211576674192182,1.1010902,21496.076,-91.75135,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,13987,0.0244799312643113,12,1,0.005,64,10,1.0,64,0.0001,0.5,56.35737299919128
0.4827136987674115,0.4953076120959332,0.37065938353492,0.4240124972104441,-0.029045381926002,0.0005608845385722,0.0236830010465794,0.0182768050581216,-0.0061006546020507,0.5088686241106323,-0.1160473061026229,0.9812549,-98.86716,-99.214355,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,13987,0.0255511048180463,33,1,0.005,64,10,1.0,64,0.0001,0.5,256.948303937912
0.5155073105892778,0.5265275333165703,0.8732276897414513,0.6569411764705883,-0.0256781368793862,0.0003728871233761,0.0193102854296908,0.0147767821326851,-0.0265039205551147,0.5367744793974302,1.0621440212828968,1.1857772,13633.281,-58.6451,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,13987,-0.0016579392875626,13,1,0.005,64,10,1.0,64,0.0001,0.5,142.39072608947754
0.5125742574257426,0.5276616670764691,0.7988088591103667,0.6355223217590878,-0.0176042089784743,0.0014919134555384,0.0386252955398201,0.027216712012887,-0.2547117471694946,0.5172277227722772,0.5211576674192182,1.1010901927947998,21496.076171875,-91.75135040283205,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,13987,0.0244799312643113,22,1,0.005,64,20,1.0,64,0.0001,0.5,103.07885003089903
0.4881250626315262,0.5022761760242792,0.3874365977370269,0.4374449339207048,-0.0184813776485494,0.0005723348585888,0.0239235210324248,0.0183843430131673,-0.0266398191452026,0.5097705180879848,0.0435571648632546,1.0071277618408203,-87.91818237304688,-95.16708374023438,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,13987,0.0383720959635598,72,1,0.005,64,20,1.0,64,0.0001,0.5,544.9440808296204
0.4931324767390341,0.5244444444444445,0.4920767306088407,0.5077452667814114,-0.0135678582813496,0.0003651656734291,0.0191093085544492,0.014895062893629,-0.0052478313446044,0.5150642445724413,0.2238478774800254,1.0365577936172483,48.470462799072266,-55.88985824584961,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,13987,0.0120219385032609,44,1,0.005,64,20,1.0,64,0.0001,0.5,459.4764738082886
0.501980198019802,0.5262032085561498,0.6409826912339475,0.5779493203557644,-0.0157092970059138,0.0012436168035492,0.0352649514893928,0.0235614217817783,-0.0458921194076538,0.5015841584158416,-0.4439934145379158,0.9212380051612854,-99.99998474121094,-99.99998474121094,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,13987,0.0536571478973892,94,1,0.005,64,40,1.0,64,0.0001,0.5,435.3139319419861
0.4881250626315262,0.5022761760242792,0.3874365977370269,0.4374449339207048,-0.0184813776485494,0.0005723348585888,0.0239235210324248,0.0183843430131673,-0.0266398191452026,0.5097705180879848,0.0435571648632546,1.0071277618408203,-87.91818237304688,-95.16708374023438,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,13987,0.0383720959635598,92,1,0.005,64,40,1.0,64,0.0001,0.5,703.8731272220612
0.4731945059813912,0.5806451612903226,0.0300250208507089,0.0570975416336241,0.0166404031100571,0.0004173102497588,0.02042817294226,0.0156220933422446,-0.1487942934036255,0.4867080194949047,-0.1553628588715473,0.975387692451477,-81.0484390258789,-86.53707885742188,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,13987,0.035844293168654,150,1,0.005,64,40,1.0,64,0.0001,0.5,1558.8784782886505
0.5104950495049505,0.5282051282051282,0.7476270240089335,0.6190476190476191,-0.0132086816849496,0.0012920158915221,0.0359446225675297,0.0241829808801412,-0.086596131324768,0.5056435643564356,-0.4639296418899194,0.9178495407104492,-99.99999237060548,-100.0,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,13987,0.0273285262573633,22,1,0.005,128,10,1.0,64,0.0001,0.5,49.16774392127991
0.5088686241106323,0.5175753788470552,0.6463129145532579,0.57482432549666,0.0104276900340413,0.0007334862020798,0.0270829503946634,0.0200305171310901,-0.315709114074707,0.5105722016234091,-0.3027415815331042,0.9518319368362428,-99.935546875,-99.96723175048828,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,13987,0.0124521629353037,15,1,0.005,128,10,1.0,64,0.0001,0.5,54.63025116920471
0.5194949047408064,0.530139510397473,0.8398665554628857,0.6499919315797966,-0.0050655469274344,0.0003757510567083,0.0193842992318111,0.01480058953166,-0.0343879461288452,0.5316792202038104,0.969250321362484,1.1682312488555908,8239.6533203125,-41.88982772827149,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,13987,0.0037540155600599,16,1,0.005,128,10,1.0,64,0.0001,0.5,81.45811772346497
0.5104950495049505,0.5282051282051282,0.7476270240089335,0.6190476190476191,-0.0132086816849496,0.0012920158915221,0.0359446225675297,0.0241829808801412,-0.086596131324768,0.5056435643564356,-0.4639296418899194,0.9178495407104492,-99.99999237060548,-100.0,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,13987,0.0273285262573633,32,1,0.005,128,20,1.0,64,0.0001,0.5,70.85161423683167
0.5088686241106323,0.5175753788470552,0.6463129145532579,0.57482432549666,0.0104276900340413,0.0007334862020798,0.0270829503946634,0.0200305171310901,-0.315709114074707,0.5105722016234091,-0.3027415815331042,0.9518319368362428,-99.935546875,-99.96723175048828,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,13987,0.0124521629353037,25,1,0.005,128,20,1.0,64,0.0001,0.5,91.86205434799194
0.5194949047408064,0.530139510397473,0.8398665554628857,0.6499919315797966,-0.0050655469274344,0.0003757510567083,0.0193842992318111,0.01480058953166,-0.0343879461288452,0.5316792202038104,0.969250321362484,1.1682312488555908,8239.6533203125,-41.88982772827149,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,13987,0.0037540155600599,26,1,0.005,128,20,1.0,64,0.0001,0.5,132.94705891609192
0.5002970297029703,0.5268976897689769,0.5942676344686395,0.5585585585585585,-0.012475095364044,0.0012530424864962,0.0353983401658364,0.0235983412712812,-0.0538192987442016,0.5054455445544555,-0.2770263831629606,0.9501066207885742,-99.99951171875,-99.9997100830078,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,13987,0.0492087196536038,133,1,0.005,128,40,1.0,64,0.0001,0.5,290.9061291217804
0.4992484216855396,0.5130858186244674,0.4933671478735856,0.5030333167578319,-0.0011719596331059,0.0005653003463521,0.023776045641615,0.018251122906804,-0.0140216350555419,0.508066940575208,-0.1219770177164889,0.9803065657615662,-99.03546905517578,-99.19073486328124,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,13987,0.0452891563397915,126,1,0.005,128,40,1.0,64,0.0001,0.5,454.9178841114044
