accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s
0.5079207920792079,0.530241632898094,0.6575469942304113,0.5870721169823861,-0.0048512790423316,0.001480130245909,0.0384724608766984,0.0269513837993145,-0.2448018789291381,0.492079207920792,0.3420880704236995,1.0652435,375.52277,-95.31704,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,5027,0.0625309732278694,26,1,0.005,64,20,1.0,32,0.0001,0.5,122.01933169364928
0.4958412666599859,0.5225225225225225,0.2149824424502536,0.3046302695231513,0.009159721617402,0.0005696524167433,0.0238673923322875,0.0182276517152786,-0.0218281745910644,0.5025553662691652,-0.3372799835681063,0.94648594,-99.96046,-99.98072,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,5027,0.0685094271170078,31,1,0.005,64,20,1.0,32,0.0001,0.5,241.30544471740723
0.4705361098803722,0.5181818181818182,0.0475396163469558,0.0870893812070282,-0.0059212614949893,0.000375252449885,0.0193714338623915,0.0151283629238605,-0.0330153703689575,0.4723083739477182,-0.630225732727876,0.90384763,-98.557335,-98.84385,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,5027,0.0281676846343444,73,1,0.005,64,20,1.0,32,0.0001,0.5,777.0304849147797
0.5125742574257426,0.5276616670764691,0.7988088591103667,0.6355223217590878,-0.0176042089784743,0.0014919134555384,0.0386252955398201,0.027216712012887,-0.2547117471694946,0.5172277227722772,0.5211576674192182,1.1010901927947998,21496.076171875,-91.75135040283205,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,13987,0.0244799312643113,22,1,0.005,64,20,1.0,64,0.0001,0.5,99.47662901878356
0.4881250626315262,0.5022761760242792,0.3874365977370269,0.4374449339207048,-0.0184813776485494,0.0005723348585888,0.0239235210324248,0.0183843430131673,-0.0266398191452026,0.5097705180879848,0.0435571648632546,1.0071277618408203,-87.91818237304688,-95.16708374023438,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,13987,0.0383720959635598,72,1,0.005,64,20,1.0,64,0.0001,0.5,547.3684751987457
0.4931324767390341,0.5244444444444445,0.4920767306088407,0.5077452667814114,-0.0135678582813496,0.0003651656734291,0.0191093085544492,0.014895062893629,-0.0052478313446044,0.5150642445724413,0.2238478774800254,1.0365577936172483,48.470462799072266,-55.88985824584961,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,13987,0.0120219385032609,44,1,0.005,64,20,1.0,64,0.0001,0.5,476.7768869400024
0.5032673267326733,0.5247566063977747,0.7022147775916621,0.600652710339887,-0.022755757063801,0.0012436943361535,0.0352660507592439,0.0234773885458707,-0.045957326889038,0.5018811881188119,-0.3590770204866516,0.9358099102973938,-99.99991607666016,-99.9999542236328,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,52547,0.0507963177366371,38,1,0.005,64,20,1.0,128,0.0001,0.5,174.72024989128113
0.4870227477703177,0.5017526289434151,0.1954740538431525,0.2813421311245261,-0.011935045018708,0.0005599824944511,0.0236639492572796,0.0182448718696832,-0.0044825077056884,0.5047599959915823,-0.0702611807367272,0.988608419895172,-97.7474365234375,-98.6828842163086,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,52547,0.0773821723056513,30,1,0.005,64,20,1.0,128,0.0001,0.5,229.23642802238464
0.4698715108551174,0.5247524752475248,0.0221017514595496,0.0424169667867146,-0.0019655964451903,0.0004460394266061,0.0211196455132691,0.0161186326295137,-0.2278815507888794,0.4769605671245016,-0.3891901895761154,0.9394813179969788,-94.66912841796876,-96.4359130859375,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,52547,0.0580232673279938,141,1,0.005,64,20,1.0,128,0.0001,0.5,1474.0359859466553
