accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s
0.5206456726958276,0.5416567483932397,0.6190152339499456,0.5777580297067412,0.0294346434425144,0.0008674289565533,0.0294521468920915,0.01775205694139,0.0001910328865051,0.5297975066657058,0.1330097405458775,1.0281487,-93.50536,-99.43551,A7,concat,0,42,"[""price""]",48276,13877,9251,0.0294346434425144,34,1,0.0,64,20,1.0,64,0.0001,0.5,283.4592092037201
0.5338737695425594,0.5492669253988788,0.6928202338863204,0.6127480457005412,0.0486595552234325,0.0003751482872758,0.0193687451136052,0.0133757721632719,-7.843971252441406e-05,0.5326433121019108,1.1797332768306097,1.2402202,3254893600.0,-38.56443,A7,concat,1,42,"[""price""]",62153,13816,9251,0.0486595552234325,60,1,0.0,64,20,1.0,64,0.0001,0.5,1038.403277873993
0.493021910477981,0.5056211354693648,0.5074037512339585,0.5065108749208137,-0.0147110904160253,0.0004078531055711,0.0201953733704311,0.0139048937708139,-0.0081729888916015,0.5093643792031238,-0.0687647447208195,0.98749614,-98.145775,-99.49476,A7,concat,2,42,"[""price""]",75969,13829,9251,-0.0147110904160253,43,1,0.0,64,20,1.0,64,0.0001,0.5,498.8543019294739
0.5148874364560639,0.5296316070475173,0.5569904548006738,0.5429666119321291,0.0268350727316058,0.000384993822081,0.019621259441764,0.0138051286339759,-0.000414490699768,0.5170660856935366,0.5732169877513242,1.1081218,121148.79,-68.03824,A7,concat,3,42,"[""price""]",89798,13770,9251,0.0268350727316058,43,1,0.0,64,20,1.0,64,0.0001,0.5,548.7364017963409
0.514014598540146,0.5403361344537815,0.5333149018523639,0.5368025601780994,0.0257193886745747,0.0002421745593892,0.0155619587259843,0.0106729269027709,-0.0001921653747558,0.5258394160583941,0.4865914709236468,1.0933775,1043.6346,-52.926044,A7,concat,4,42,"[""price""]",103568,6850,9251,0.0257193886745747,54,1,0.0,64,20,1.0,64,0.0001,0.5,761.6864190101624
0.519636809108597,0.5595692948940605,0.4382480957562568,0.491533180778032,0.0502333407581293,0.0008679588790982,0.0294611418498722,0.0177592672407627,-0.0004197359085083,0.5292210131872883,0.1278337319106416,1.0270386,-94.31063,-99.491356,A7,concat,0,123,"[""price""]",48276,13877,9251,0.0502333407581293,29,1,0.0,64,20,1.0,64,0.0001,0.5,211.43249011039737
0.5229444122756225,0.5689250225835591,0.4282023388632037,0.488633718674839,0.0600416618550295,0.0004331265517976,0.0208116926701701,0.01481325738132,-0.1546380519866943,0.4931962941517082,-0.3152686336174266,0.94414586,-99.96499,-99.97838,A7,concat,1,123,"[""price""]",62153,13816,9251,0.0600416618550295,21,1,0.0,64,20,1.0,64,0.0001,0.5,190.68087005615232
0.4862969122857762,0.4986208359855718,0.331406007615287,0.3981701118264995,-0.0203439374693535,0.0004459945484995,0.0211185830135353,0.0147906355559825,-0.1024550199508667,0.5077735194157206,-0.0589621781045119,0.989269,-97.91322,-99.42961,A7,concat,2,123,"[""price""]",75969,13829,9251,-0.0203439374693535,21,1,0.0,64,20,1.0,64,0.0001,0.5,232.07256603240967
0.5050835148874364,0.526084754347459,0.4373947220662549,0.4776576990879129,0.0151752080676806,0.000385827734135,0.0196424981643143,0.0138231180608272,-0.0025814771652221,0.515032679738562,0.4507772735799373,1.0840781,15267.133,-79.121056,A7,concat,3,123,"[""price""]",89798,13770,9251,0.0151752080676806,106,1,0.0,64,20,1.0,64,0.0001,0.5,1398.2350211143494
0.4937226277372263,0.5336039693279206,0.3270666298037047,0.4055536510113129,0.0077248897635064,0.0002424442209303,0.0155706204414062,0.0106820315122604,-0.0013059377670288,0.5192700729927008,0.3022144329766893,1.0570042,232.2403,-47.91465,A7,concat,4,123,"[""price""]",103568,6850,9251,0.0077248897635064,31,1,0.0,64,20,1.0,64,0.0001,0.5,457.6734662055969
0.5295813216112992,0.5388239728609122,0.7777475516866159,0.6366065464261857,0.0326044868180547,0.0008679967722855,0.029461784947378,0.0178979393094778,-0.0004633665084838,0.4828853498594797,0.233331436132006,1.0499057,5.823505,-98.57788,A7,concat,0,456,"[""price""]",48276,13877,9251,0.0326044868180547,26,1,0.0,64,20,1.0,64,0.0001,0.5,206.2062909603119
0.5348870874348581,0.5488215488215489,0.7092738645635028,0.6188159924071658,0.0492141453978053,0.0005534844240173,0.023526249680248,0.017783997580409,-0.4754908084869385,0.4695280833815866,-1.0760065971975754,0.8217463,-100.0,-100.0,A7,concat,1,456,"[""price""]",62153,13816,9251,0.0492141453978053,22,1,0.0,64,20,1.0,64,0.0001,0.5,209.5737581253052
