accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,sequence_modalities,elapsed_s
0.5317821782178218,0.5488767455980571,0.6729946026428438,0.6046317197558733,0.046378603716880004,0.0011902920668944716,0.034500609659750534,0.023416494950652122,-0.0010455846786499023,0.531980198019802,0.1308748746412649,1.0244727,-96.20921,-99.6558,A10,concat,0,42,"[""price"", ""news"", ""social""]",23116,6372,10100,19683,0.03573358112769742,52,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",278.90251994132996
0.5434981220180692,0.5446848541862653,0.9736547085201793,0.6985722903679872,0.016193172147014677,0.0009819695260375738,0.03133639299660339,0.024882089346647263,-0.881939172744751,0.45629885290833416,-1.3200154675530276,0.8074241,-100.0,-100.0,A10,concat,1,42,"[""price"", ""news"", ""social""]",30474,9112,9851,19683,0.06354443339865062,31,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",219.92555403709412
0.5027557871530214,0.5121230041395624,0.6757705813499805,0.5826745164003364,-0.0045147702253831405,0.0005580631550401449,0.02362336036723279,0.018250025808811188,-0.001039743423461914,0.48531917025754084,-0.4987269463682673,0.9218911,-99.9961,-99.996864,A10,concat,2,42,"[""price"", ""news"", ""social""]",38468,10972,9979,19683,0.041735417395875704,42,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",375.2583131790161
0.5141084650790474,0.5182473401212676,0.8753623188405797,0.6510491520551883,0.0023080641926859495,0.0005281679332256317,0.022981904473424995,0.01804967224597931,-0.0022728443145751953,0.5173103862317391,0.623096926689044,1.1047908,58170.24,-69.658905,A10,concat,3,42,"[""price"", ""news"", ""social""]",46657,12721,9994,19683,0.009089137353523112,52,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",546.7917709350586
0.5070890562693842,0.5283142389525368,0.6730608840700584,0.5919677241885201,-0.008472756158148732,0.0003648368874564767,0.019100703847148584,0.01495479978621006,-0.004342794418334961,0.5228178998670802,0.4715500254893526,1.0785732,468.10632,-42.735775,A10,concat,4,42,"[""price"", ""news"", ""social""]",54070,15339,4514,19683,0.01081206832011157,76,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",940.7282099723816
0.5063366336633663,0.5414258188824663,0.47068676716917923,0.503584229390681,0.01755883406323893,0.0011909659951925278,0.03451037518185694,0.02340925857424736,-0.0016123056411743164,0.5281188118811881,0.17640348728684332,1.0331264,-89.324356,-99.205505,A10,concat,0,123,"[""price"", ""news"", ""social""]",23116,6372,10100,19683,0.03782097848275378,106,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",547.7202789783478
0.5225865394376206,0.5620103191286069,0.5495142002989537,0.555692017005196,0.039995180446912706,0.0005870007444173098,0.02422809824186186,0.018464863300323486,-0.1249837875366211,0.4687848949345244,-0.9247328209258403,0.8608596,-99.999985,-99.999985,A10,concat,1,123,"[""price"", ""news"", ""social""]",30474,9112,9851,19683,0.03626711031970652,33,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",227.03887820243835
0.4893275879346628,0.5027644673792849,0.5321888412017167,0.5170583775587566,-0.023838441515017145,0.0005611451924778521,0.023688503381975236,0.018237220123410225,-0.006568193435668945,0.5104719911814811,-0.10341906296225452,0.9832775,-98.64688,-99.39607,A10,concat,2,123,"[""price"", ""news"", ""social""]",38468,10972,9979,19683,0.05312211847664446,60,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",526.1557030677795
0.5010006003602161,0.5213248638838476,0.44405797101449274,0.47959929041010124,0.006247405886572197,0.0005282232305034995,0.022983107503196768,0.018067317083477974,-0.002377748489379883,0.51240744446668,0.5665891916485419,1.09485,26162.895,-63.457138,A10,concat,3,123,"[""price"", ""news"", ""social""]",46657,12721,9994,19683,0.009584801715866117,149,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",1526.1767086982727
0.4922463447053611,0.5174456879526004,0.6555462885738115,0.5783664459161147,-0.039646859243478445,0.0003640005015768111,0.01907879717321852,0.01493369322270155,-0.002040266990661621,0.525254762959681,0.4340692545487611,1.0721079,362.8056,-42.997616,A10,concat,4,123,"[""price"", ""news"", ""social""]",54070,15339,4514,19683,0.012629029915941116,129,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",1541.4306931495667
