accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,sequence_modalities,elapsed_s
0.499009900990099,0.5269502324780437,0.5695142378559463,0.5474060822898033,-0.011724130152791815,0.0011901427060365677,0.03449844497997798,0.02344418689608574,-0.0009199380874633789,0.5278217821782178,0.34460796352863515,1.0657396,191674.38,-97.982254,A8,concat,0,42,"[""price"", ""graph""]",23116,6372,10100,18595,0.042872673322280896,63,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",568.7060391902924
0.5280682164247285,0.5442082756885926,0.8084828101644245,0.6505299556491017,0.003750197502946441,0.0007086297846399248,0.026620101138799694,0.020421035587787628,-0.358085036277771,0.540655770987717,1.316365877468824,1.2377737,1.2758669e+10,-45.608746,A8,concat,1,42,"[""price"", ""graph""]",30474,9112,9851,18595,0.02876706085752238,34,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",411.9471378326416
0.5126766209038982,0.5232784563639582,0.5766679672259072,0.5486774941995359,0.021937820600342287,0.0005659034359268844,0.02378872497480444,0.01827230677008629,-0.015103340148925781,0.5044593646657982,0.22409912166242713,1.0372185,2682.8992,-80.67455,A8,concat,2,42,"[""price"", ""graph""]",38468,10972,9979,18595,0.027422521523853997,102,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",1549.600545167923
0.5071042625575345,0.5238277511961722,0.5288888888888889,0.5263461538461538,0.012604333291363212,0.0005330575513653457,0.023088039140761733,0.01810283586382866,-0.011551618576049805,0.5144086451871123,0.4181806694386038,1.0691675,42162.547,-77.6069,A8,concat,3,42,"[""price"", ""graph""]",46657,12721,9994,18595,0.022461205024622427,106,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",2126.6950068473816
0.5190518387239699,0.5369827305311177,0.6872393661384487,0.6028900676788,0.01678235235439097,0.0003777824167627841,0.019436625652689412,0.01467718742787838,-0.03997993469238281,0.5287992910943731,0.5517153113291907,1.0925336,1889.3864,-43.110992,A8,concat,4,42,"[""price"", ""graph""]",54070,15339,4514,18595,0.005439087124677334,35,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",750.7092280387878
0.5048514851485149,0.5350282485875706,0.5287548855388051,0.5318730693625386,0.006431641427726895,0.0011887234868481755,0.03447786952304587,0.023398909717798233,0.00027358531951904297,0.5337623762376238,0.4366705203722997,1.0840276,1.442626e+06,-90.35861,A8,concat,0,123,"[""price"", ""graph""]",23116,6372,10100,18595,0.03317333948941506,64,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",582.3838160037994
0.5212668764592427,0.5504601713741669,0.648168908819133,0.5953320748240948,0.01916775174944278,0.0006255374755710363,0.02501074720137398,0.019047752022743225,-0.19883906841278076,0.46421683077860115,-1.0753350357205003,0.8400995,-99.99998,-99.99998,A8,concat,1,123,"[""price"", ""graph""]",30474,9112,9851,18595,0.04291143749838809,40,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",478.77802085876465
0.49904800080168354,0.5113901345291479,0.556184159188451,0.5328473974394916,-0.0051518060335344566,0.0005607540369965136,0.023680245712334017,0.018202131614089012,-0.005866527557373047,0.5179877743260848,0.13745843615573686,1.0226675,669.27435,-71.91706,A8,concat,2,123,"[""price"", ""graph""]",38468,10972,9979,18595,0.033044833349619156,46,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",693.5083911418915
0.49659795877526514,0.5158102766798419,0.4539130434782609,0.482886216466235,-0.003662871869357255,0.0005341225769370794,0.023111092075821068,0.018079297617077827,-0.0135725736618042,0.5156093656193717,0.5995373365789273,1.1006352,579864.6,-59.2352,A8,concat,3,123,"[""price"", ""graph""]",46657,12721,9994,18595,0.017076897060016766,94,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",1659.8998460769653
0.5075321222862207,0.551805802249852,0.3886572143452877,0.45608025446537803,0.03187216709200899,0.0003638986381702125,0.019076127441653677,0.014895758591592312,-0.0017598867416381836,0.5217102348249889,0.5206221805246325,1.0870974,1581.1592,-50.09135,A8,concat,4,123,"[""price"", ""graph""]",54070,15339,4514,18595,0.015128007244462541,91,1,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",1809.1053590774536
