accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s
0.501980198019802,0.5262032085561498,0.6409826912339475,0.5779493203557644,-0.0157092970059138,0.0012436168035492,0.0352649514893928,0.0235614217817783,-0.0458921194076538,0.5015841584158416,-0.4439934145379158,0.921238,-99.999985,-99.999985,A4,concat,0,42,"[""price"", ""macro""]",23323,6372,10100,13987,0.0536571478973892,84,1,0.005,64,30,1.0,64,0.0001,0.5,392.3921091556549
0.4738605217744391,0.6294027565084227,0.0767937219730941,0.1368859283930058,0.0460591525709256,0.0005645633791573,0.0237605424844916,0.0181310456246137,-0.0819826126098632,0.4747741346056238,-0.7463257965605743,0.88611263,-99.999825,-99.99986,A4,concat,1,42,"[""price"", ""macro""]",30681,9112,9851,13987,0.007655260707791,72,1,0.005,64,30,1.0,64,0.0001,0.5,459.42261505126953
0.4881250626315262,0.5022761760242792,0.3874365977370269,0.4374449339207048,-0.0184813776485494,0.0005723348585888,0.0239235210324248,0.0183843430131673,-0.0266398191452026,0.5097705180879848,0.0435571648632546,1.0071278,-87.91818,-95.16708,A4,concat,2,42,"[""price"", ""macro""]",38675,10972,9979,13987,0.0383720959635598,82,1,0.005,64,30,1.0,64,0.0001,0.5,646.8118641376495
0.5112067240344207,0.5164585698070374,0.8792270531400966,0.650697175545227,-0.0073812846577041,0.0007878353935666,0.0280684056114101,0.0218280926346778,-0.4950282573699951,0.5144086451871123,0.523793883298494,1.0873814,13733.718,-66.43598,A4,concat,3,42,"[""price"", ""macro""]",46864,12721,9994,13987,0.0153574060474239,31,1,0.005,64,30,1.0,64,0.0001,0.5,303.1844217777252
0.4731945059813912,0.5806451612903226,0.0300250208507089,0.0570975416336241,0.0166404031100571,0.0004173102497588,0.02042817294226,0.0156220933422446,-0.1487942934036255,0.4867080194949047,-0.1553628588715473,0.9753877,-81.04844,-86.53708,A4,concat,4,42,"[""price"", ""macro""]",54277,15339,4514,13987,0.035844293168654,150,1,0.005,64,30,1.0,64,0.0001,0.5,1652.2326080799105
0.5054455445544555,0.5317327065144393,0.589428624604504,0.5590961249889663,-0.0005946315123099,0.0012687103589996,0.0356189606670333,0.0237199123948812,-0.0669959783554077,0.505940594059406,-0.1138264695659833,0.97919106,-99.9823,-99.9915,A4,concat,0,123,"[""price"", ""macro""]",23323,6372,10100,13987,0.0613736887534401,93,1,0.005,64,30,1.0,64,0.0001,0.5,436.150053024292
0.4791391736879504,0.6326530612244898,0.0984678624813154,0.1704122877930477,0.0545211391902455,0.000575651298277,0.0239927342809668,0.0182232595980167,-0.1032326221466064,0.4797482489087402,-0.6770727046459805,0.8961123,-99.99952,-99.99965,A4,concat,1,123,"[""price"", ""macro""]",30681,9112,9851,13987,0.0180581572559734,102,1,0.005,64,30,1.0,64,0.0001,0.5,650.5213119983673
0.4957410562180579,0.5155835543766578,0.3033554428404214,0.3819700319331859,0.0025082224666756,0.0005587268969975,0.0236374046163605,0.0182421449571847,-0.0022302865982055,0.5052610482012225,-0.1972141461095031,0.96835303,-99.66364,-99.74323,A4,concat,2,123,"[""price"", ""macro""]",38675,10972,9979,13987,0.0737550294516183,42,1,0.005,64,30,1.0,64,0.0001,0.5,320.3506109714508
0.5176105663398038,0.55031267765776,0.3741062801932367,0.4454158518348096,0.0479413402928854,0.0005321109201759,0.0230675295637809,0.0180326830595731,-0.0097551345825195,0.5172103261957174,0.4013403014653974,1.0662917,2267.8223,-93.981224,A4,concat,3,123,"[""price"", ""macro""]",46864,12721,9994,13987,0.0353990420382131,93,1,0.005,64,30,1.0,64,0.0001,0.5,861.847697019577
0.4778466991581745,0.5990338164251208,0.0517097581317764,0.0952015355086372,0.029784587486808,0.0004175127251073,0.0204331281282962,0.0156728662550449,-0.1493517160415649,0.4769605671245016,-0.5761833663398735,0.91171795,-98.06736,-98.93648,A4,concat,4,123,"[""price"", ""macro""]",54277,15339,4514,13987,0.0479031726385843,121,1,0.005,64,30,1.0,64,0.0001,0.5,1353.8230350017548
