accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,sequence_modalities,elapsed_s
0.5250495049504951,0.53235228038643,0.8820026056206961,0.6639579684763572,0.002032706271671126,0.0013934116577729583,0.037328429618361365,0.024787330999970436,-0.17187082767486572,0.5297029702970297,-0.027342316399661656,0.99496156,-99.88321,-99.96433,A5,concat,0,42,"[""price"", ""macro"", ""social""]",22281,6372,10100,125027,0.06402345973458258,91,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",626.6127142906189
0.47142422089128005,0.5830469644902635,0.09510463378176383,0.16353413654618473,0.0248850849762028,0.0005328242550604045,0.02308298626825404,0.017900556325912476,-0.02115476131439209,0.4826921124758908,-0.3957145843718648,0.9379074,-99.973625,-99.98805,A5,concat,1,42,"[""price"", ""macro"", ""social""]",29639,9112,9851,125027,-0.0032218764227325324,51,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",469.8721618652344
0.506162942178575,0.5188212927756654,0.5323839250877878,0.5255151165029848,0.010862766799985038,0.0005647670477628708,0.023764827955675815,0.018240053206682205,-0.013064980506896973,0.5140795670908909,0.38011278487134786,1.0639454,1702.5219,-86.616646,A5,concat,2,42,"[""price"", ""macro"", ""social""]",37633,10972,9979,125027,0.05933221698883995,74,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",876.4372589588165
0.48339003402041225,0.505671077504726,0.10338164251207729,0.17166693406064495,-0.008359526027676265,0.0010833146516233683,0.032913745633448774,0.025897961109876633,-1.055741548538208,0.49639783870322196,-0.1519072682084028,0.9759986,-99.19904,-99.80612,A5,concat,3,42,"[""price"", ""macro"", ""social""]",45822,12721,9994,125027,-0.004988810779867925,31,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",431.830579996109
0.5101905183872397,0.5327037425673312,0.6351125938281902,0.5794179189651892,0.003865373606379026,0.00044865786912851036,0.021181545484891096,0.015919512137770653,-0.23508977890014648,0.5243686309260079,0.310799166083578,1.0511163,136.6987,-72.43831,A5,concat,4,42,"[""price"", ""macro"", ""social""]",53235,15339,4514,125027,0.028949033288588347,37,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",595.4574747085571
0.5199009900990099,0.5277777777777778,0.9264842732179416,0.6724755150287065,-0.0316470546374522,0.0014711085241287947,0.038355032578904096,0.026092281565070152,-0.2372145652770996,0.5028712871287129,0.07493423530210239,1.0139396,-98.87093,-99.42237,A5,concat,0,123,"[""price"", ""macro"", ""social""]",22281,6372,10100,125027,0.031875764627769504,32,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",216.14150190353394
0.4953811795756776,0.5690968443960827,0.29316143497757846,0.38697743248242694,0.03229134845605319,0.0005533859948627651,0.023524157686573288,0.017802255228161812,-0.060561299324035645,0.5252258653943762,0.8607820841677725,1.1496521,1.5636931e+06,-64.31014,A5,concat,1,123,"[""price"", ""macro"", ""social""]",29639,9112,9851,125027,-0.01649438287836205,32,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",297.8796110153198
0.5199919831646458,0.5338300443012485,0.5171673819742489,0.525366627031312,0.040128281271407405,0.000583131390158087,0.02414811359419379,0.01825285516679287,-0.04600644111633301,0.5208938771419982,0.4394198656198076,1.0742857,4253.9834,-70.03103,A5,concat,2,123,"[""price"", ""macro"", ""social""]",37633,10972,9979,125027,0.06354989470950285,113,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",1259.832465171814
0.5108064838903342,0.5470085470085471,0.32154589371980674,0.40501399537544114,0.03865284442674748,0.0005371258012019098,0.023175974654842668,0.017977962270379066,-0.0192716121673584,0.5119071442865719,0.16499057911130013,1.0267378,-22.802639,-98.40915,A5,concat,3,123,"[""price"", ""macro"", ""social""]",45822,12721,9994,125027,0.03138721237027094,96,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",1309.2055230140686
0.4791758972086841,0.6256684491978609,0.048790658882402,0.09052224371373307,0.03933933678278136,0.0004293605452403426,0.02072101699338965,0.015874721109867096,-0.18196702003479004,0.4714222419140452,-0.5750206708308233,0.9118881,-98.04836,-98.506386,A5,concat,4,123,"[""price"", ""macro"", ""social""]",53235,15339,4514,125027,0.04969766700384149,84,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",1365.0225191116333
0.49693069306930693,0.5270470544646165,0.529499348594826,0.5282703555844397,-0.010593001499031087,0.001367105869576335,0.03697439478309733,0.02481800876557827,-0.14974749088287354,0.516930693069307,-0.5653637516231852,0.9007986,-100.0,-100.0,A5,concat,0,456,"[""price"", ""macro"", ""social""]",22281,6372,10100,125027,0.036157680816808827,36,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",262.65092611312866
0.4837072378438737,0.5956834532374101,0.1547085201793722,0.24562444378522694,0.04262806263155591,0.0005490712937898934,0.02343227035073412,0.01786121539771557,-0.0522921085357666,0.49446756674449294,-0.3941177630435817,0.93815017,-99.97323,-99.983444,A5,concat,1,456,"[""price"", ""macro"", ""social""]",29639,9112,9851,125027,0.0049175474607539675,121,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",1090.691181898117
0.497945685940475,0.5113192818110851,0.5111197815060476,0.511219512195122,-0.004849669062752476,0.00057277298765257,0.023932676148992825,0.01827472262084484,-0.027425765991210938,0.5008517887563884,-0.005017458701627587,0.99918216,-94.194534,-98.50713,A5,concat,2,456,"[""price"", ""macro"", ""social""]",37633,10972,9979,125027,0.06822789959307063,75,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",845.9830617904663
0.5078046828096858,0.5688172043010753,0.20444444444444446,0.3007818052594172,0.04881303026992185,0.0005296237068250775,0.02301355484980705,0.0180649571120739,-0.005035281181335449,0.5139083450070042,0.22617053340493154,1.0368333,87.32611,-95.22788,A5,concat,3,456,"[""price"", ""macro"", ""social""]",45822,12721,9994,125027,-0.000555360061162985,55,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",761.4397330284119
0.49889233495790875,0.5426599749058971,0.36071726438698914,0.4333667334669339,0.016913880010497942,0.00042896109516732395,0.020711375984403448,0.015873951837420464,-0.18086743354797363,0.5037660611431103,0.2729058248149824,1.0447466,93.487785,-71.12116,A5,concat,4,456,"[""price"", ""macro"", ""social""]",53235,15339,4514,125027,0.03419056496206568,33,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",533.8767969608307
0.5178217821782178,0.531879832678413,0.7809417457658664,0.6327854019001659,-0.000379944817685688,0.0012734022457152605,0.03568476209413845,0.02351875975728035,-0.07094192504882812,0.5261386138613862,0.02062258235679536,1.0038172,-99.66444,-99.8575,A5,gated_cross_attention,0,42,"[""price"", ""macro"", ""social""]",22281,6372,10100,137699,0.053974309594728063,115,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",880.6620299816132
0.523398639732007,0.5497501135847342,0.6782511210762332,0.6072772898368883,0.018476694352242886,0.0007022483623586595,0.026499969101088768,0.0203242190182209,-0.34585511684417725,0.48177849964470615,-0.5677857727446267,0.9121217,-99.99772,-99.99846,A5,gated_cross_attention,1,42,"[""price"", ""macro"", ""social""]",29639,9112,9851,137699,0.00644854563907366,32,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",331.9429759979248
0.4895280088185189,0.5050156739811912,0.314280140460398,0.3874458874458874,-0.01188107948956752,0.0005702018388547003,0.023878899448146692,0.01836150512099266,-0.022813796997070312,0.4861208537929652,-0.3973780532683641,0.93725514,-99.98258,-99.98483,A5,gated_cross_attention,2,42,"[""price"", ""macro"", ""social""]",37633,10972,9979,137699,0.057122421100987114,57,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",746.7716538906097
0.5204122473484091,0.5450684285040113,0.4463768115942029,0.49081058111122916,0.04680752376249342,0.0005284257349558175,0.022987512587398784,0.01795974001288414,-0.0027620792388916016,0.5257154292575545,0.8185437886349639,1.1398771,977793.0,-62.464775,A5,gated_cross_attention,3,42,"[""price"", ""macro"", ""social""]",45822,12721,9994,137699,0.052236506479299186,121,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",1851.1144518852234
0.5199379707576429,0.5321637426900585,0.7969140950792327,0.6381699782935382,0.0036664126520574475,0.00037383841117843986,0.01933490137493439,0.01501366775482893,-0.029122591018676758,0.5115197164377492,0.04054164699900463,1.0065242,-45.226574,-77.570076,A5,gated_cross_attention,4,42,"[""price"", ""macro"", ""social""]",53235,15339,4514,137699,0.03121197196014031,36,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price"", ""social""]",640.8834698200226
