accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,sequence_modalities,elapsed_s
0.5235643564356436,0.5452492337473787,0.629071282337614,0.5841686830279986,0.03352218811162459,0.0011886615538969636,0.03447697135621056,0.02336943708360195,0.0003256797790527344,0.5386138613861386,0.41711900975058064,1.0801175,1964.5454,-98.7677,A10,concat,0,42,"[""price"", ""news"", ""social""]",22281,6372,10100,71715,0.03529205721803248,61,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",370.12315487861633
0.5411633336717084,0.5456440640772438,0.929185351270553,0.6875432047559795,0.016582957144382265,0.0006678311037831008,0.025842428364670007,0.019674696028232574,-0.2798945903778076,0.45721246573951885,-1.3333921726420943,0.80567443,-100.0,-100.0,A10,concat,1,42,"[""price"", ""news"", ""social""]",29639,9112,9851,71715,0.05055529868206258,33,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",268.2703928947449
0.49944884256939576,0.5118723944172557,0.5509168942645337,0.5306774405712675,-0.004018616820581856,0.0005692922277376056,0.023859845509508346,0.018302209675312042,-0.02118217945098877,0.5028559975949494,-0.2147222168607375,0.96559244,-99.76021,-99.938705,A10,concat,2,42,"[""price"", ""news"", ""social""]",37633,10972,9979,71715,0.03259397919053793,77,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",775.3835289478302
0.5214128477086252,0.5290973871733967,0.688695652173913,0.5984384182688272,0.03247866839428847,0.000526708085089922,0.02295012167919643,0.018037445843219757,0.0004974603652954102,0.5180108064838903,0.6366192274417739,1.107183,70921.47,-66.60958,A10,concat,3,42,"[""price"", ""news"", ""social""]",45822,12721,9994,71715,0.015502275480333666,53,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",662.9515860080719
0.5203810367744794,0.5302361796003114,0.8519599666388658,0.6536554151335786,-0.004838011222400109,0.0003666863776743412,0.01914905683511178,0.014910757541656494,-0.009434103965759277,0.5099689853788214,0.3773029718878141,1.0623895,242.16771,-68.15052,A10,concat,4,42,"[""price"", ""news"", ""social""]",53235,15339,4514,71715,0.015419891370860502,37,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",529.1467370986938
0.5150495049504951,0.5478348439073515,0.5062348780941746,0.526213967885471,0.031243962028737034,0.0018987127114087343,0.0435742207206134,0.03305491805076599,-0.596833348274231,0.5317821782178218,0.13639773744640354,1.0255185,-95.70344,-99.67732,A10,concat,0,123,"[""price"", ""news"", ""social""]",22281,6372,10100,71715,0.02116500999959416,33,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",201.59385108947754
0.5170033499137143,0.54833984375,0.6294843049327354,0.5861169102296451,0.01303820948588361,0.0005224389024078846,0.02285692241768092,0.017705533653497696,-0.001251220703125,0.5391330829357426,1.244403771843123,1.223414,3.5334717e+08,-52.611248,A10,concat,1,123,"[""price"", ""news"", ""social""]",29639,9112,9851,71715,0.04136606939064749,82,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",667.1070430278778
0.5077663092494238,0.5175986842105263,0.6139289894654701,0.5616633946100303,0.009793755557094441,0.0005659298622049391,0.023789280405361973,0.018255485221743584,-0.015150785446166992,0.5067642048301433,-0.3084333548233517,0.95094883,-99.94058,-99.98674,A10,concat,2,123,"[""price"", ""news"", ""social""]",37633,10972,9979,71715,0.033398825054406237,68,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",665.3419468402863
0.5241144686812087,0.5308678355679977,0.696231884057971,0.6024076241431199,0.03801399513105545,0.0005312847206369042,0.02304961432729199,0.018000608310103416,-0.008187294006347656,0.5200120072043226,0.7283541349050461,1.1235495,265974.84,-71.11165,A10,concat,3,123,"[""price"", ""news"", ""social""]",45822,12721,9994,71715,0.021094835057037815,91,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",1078.162733078003
0.5064244572441293,0.526595744680851,0.7018348623853211,0.6017161244190203,-0.014480418767984345,0.0003655075852293521,0.019118252671971675,0.014937130734324455,-0.006189107894897461,0.5241470979175897,0.4123695573793587,1.0683823,311.39346,-59.225403,A10,concat,4,123,"[""price"", ""news"", ""social""]",53235,15339,4514,71715,0.0259739478307499,66,20,0.005,64,30,1.0,64,0.0001,0.5,"[""price""]",914.0420439243317
