accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s
0.509009900990099,0.5273881979359619,0.741857435324772,0.6165029773412729,-0.0158685670177467,0.001465419656597,0.0382808001039304,0.0271378085017204,-0.2324302196502685,0.5071287128712871,0.3022609147767053,1.0574325,69.0645,-95.03481,A4,concat,0,42,"[""price"", ""macro""]",22497,6372,10100,66019,0.0393617790100234,32,20,0.005,64,30,1.0,64,0.0001,0.5,173.53230810165405
0.4942645416708963,0.5952626158599382,0.2159940209267563,0.3169728544008774,0.0516963734423311,0.0005740863853134,0.0239600998602556,0.0181840527802705,-0.1002334356307983,0.5111156227794132,0.2563868376842526,1.0424073,181.1888,-88.423935,A4,concat,1,42,"[""price"", ""macro""]",29855,9112,9851,66019,0.0221179534286245,150,20,0.005,64,30,1.0,64,0.0001,0.5,1045.6640419960022
0.4830143300931957,0.4935471255377395,0.2461958642216153,0.3285175061824808,-0.0236415394682588,0.0005742863286286,0.0239642719194358,0.0184095669537782,-0.0301402807235717,0.4904299027958713,-0.284853303259284,0.9546125,-99.913635,-99.93676,A4,concat,2,42,"[""price"", ""macro""]",37849,10972,9979,66019,0.0427368856396926,35,20,0.005,64,30,1.0,64,0.0001,0.5,315.3528299331665
0.51861116670002,0.5529994175888177,0.3669565217391304,0.4411662213962132,0.0509515661730378,0.0005332852015271,0.0230929686599011,0.0179912820458412,-0.0119835138320922,0.5193115869521713,0.4538354330255156,1.075282,4939.9463,-71.50932,A4,concat,3,42,"[""price"", ""macro""]",46038,12721,9994,66019,0.0131109570515124,113,20,0.005,64,30,1.0,64,0.0001,0.5,1203.9416680336
0.5015507310589278,0.5251358695652174,0.6447039199332777,0.5788094346686634,-0.0167397245988258,0.0003776521480176,0.0194332742485063,0.0150375571101903,-0.039621353149414,0.5097474523704032,0.2983225875569065,1.0490149,122.3146,-52.90978,A4,concat,4,42,"[""price"", ""macro""]",53451,15339,4514,66019,0.0246510543689671,35,20,0.005,64,30,1.0,64,0.0001,0.5,415.63471484184265
0.5136633663366337,0.5306312292358804,0.7431602456728085,0.6191657621336641,-0.0046215396960882,0.0013363854959607,0.0365566067347711,0.0240529850125312,-0.1239113807678222,0.5163366336633664,-0.2600187161919869,0.95309716,-99.99929,-99.99954,A4,concat,0,123,"[""price"", ""macro""]",22497,6372,10100,66019,0.0767800418239397,105,20,0.005,64,30,1.0,64,0.0001,0.5,524.2017080783844
0.5231956146584104,0.5420897056933556,0.7881165919282511,0.6423513287139268,-0.0046916417249798,0.0008153616217896,0.0285545376742407,0.0220922380685806,-0.562636137008667,0.4771089229519846,-0.8246193620296687,0.87494093,-99.99994,-99.999954,A4,concat,1,123,"[""price"", ""macro""]",29855,9112,9851,66019,0.0251249029904107,31,20,0.005,64,30,1.0,64,0.0001,0.5,217.455668926239
0.4917326385409359,0.510158013544018,0.2645337495122903,0.3484069886947585,-0.004244390503899,0.0005660793976858,0.0237924231150554,0.0182645618915557,-0.0154190063476562,0.493937268263353,0.1855800797766957,1.0307238,0.7466316,-90.54333,A4,concat,2,123,"[""price"", ""macro""]",37849,10972,9979,66019,0.0472081944973849,62,20,0.005,64,30,1.0,64,0.0001,0.5,552.3126792907715
0.5221132679607765,0.5292479108635098,0.6975845410628019,0.6018672890963654,0.0335594888719192,0.0006005932227708,0.0245070035453304,0.0188624318689107,-0.1397099494934082,0.4726836101660996,-0.7477942311358872,0.88727283,-99.999855,-99.999886,A4,concat,3,123,"[""price"", ""macro""]",46038,12721,9994,66019,0.0010479146472034,32,20,0.005,64,30,1.0,64,0.0001,0.5,331.0869197845459
0.4778466991581745,0.5248484848484849,0.1805671392827356,0.2686937635743096,-0.0060533280006824,0.0003653952735476,0.0191153151569002,0.0149685712531209,-0.0058799982070922,0.5053167922020381,-0.4051047063266124,0.93708575,-95.11827,-96.621605,A4,concat,4,123,"[""price"", ""macro""]",53451,15339,4514,66019,0.0368981618331399,47,20,0.005,64,30,1.0,64,0.0001,0.5,573.2500939369202
