accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,best_val_mcc,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,target_type,sequence_modalities,elapsed_s
0.5211881188118812,0.5473628505909331,0.5775172157081705,0.5620358630682847,0.03487014370004756,0.0011947647435590625,0.034565369136739486,0.02337767370045185,-0.004807233810424805,0.5347524752475248,0.28641759915498594,1.0543412,53437.305,-79.97248,0.026005520173207713,A3,concat,0,42,"[""price"", ""news""]",22281,6372,10100,114851,62,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",343.00052404403687
0.5283727540351233,0.5525923718712753,0.6930119581464873,0.6148872679045093,0.027292936181544037,0.0005233155097812414,0.02287609035174589,0.017663782462477684,-0.00293123722076416,0.5455283727540351,1.377076194084559,1.2500205,2.9985577e+10,-46.957787,0.04288020180128549,A3,concat,1,42,"[""price"", ""news""]",29639,9112,9851,114851,68,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",465.9529149532318
0.4928349534021445,0.5054375104567509,0.5893484198205228,0.5441772493920563,-0.02015054974921444,0.0005638856673613191,0.023746276915788695,0.01827518455684185,-0.011483907699584961,0.5084677823429201,-0.21451655263681202,0.96562487,-95.85753,-98.6149,0.03931248010378065,A3,concat,2,42,"[""price"", ""news""]",37633,10972,9979,114851,55,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",468.76706290245056
0.49649789873924355,0.522576570887275,0.31980676328502416,0.3967873411651882,0.0064961836788575405,0.0005828606663271785,0.024142507457328835,0.01850046031177044,-0.10605990886688232,0.5126075645387232,0.566052403736653,1.094756,357562.44,-56.158978,0.0007055238346671404,A3,concat,3,42,"[""price"", ""news""]",45822,12721,9994,114851,31,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",327.17741894721985
0.5011076650420913,0.5282071097372488,0.5700583819849875,0.5483353389490574,-0.007036209707639995,0.0003699715016409755,0.019234643267837734,0.014937455765902996,-0.018477559089660645,0.5243686309260079,0.38070522084152564,1.0629693,687.8604,-54.614742,0.01585648293067062,A3,concat,4,42,"[""price"", ""news""]",53235,15339,4514,114851,68,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",982.5903141498566
0.5058415841584158,0.5445429104477612,0.43458030895216826,0.48338681295932096,0.021625599532138755,0.0011869209120050073,0.0344517185638831,0.023349862545728683,0.0017895698547363281,0.5396039603960396,0.5743205461102269,1.111966,2.942911e+07,-75.047775,0.013441165966341985,A3,concat,0,123,"[""price"", ""news""]",22281,6372,10100,114851,55,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",336.5827760696411
0.5325347680438535,0.5504797945668334,0.7610239162929746,0.6388518547564896,0.0250552676171156,0.000522004731465131,0.022847422862658517,0.01770378276705742,-0.00041925907135009766,0.5460359354380266,1.392792719656362,1.2532109,3.7405237e+10,-36.635624,0.04040170685074977,A3,concat,1,123,"[""price"", ""news""]",29639,9112,9851,114851,51,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",417.95897912979126
0.48211243611584326,0.4941569282136895,0.3464689816621147,0.4073394495412844,-0.029303598580854694,0.0005624970654025674,0.023717020584436137,0.018228208646178246,-0.008993148803710938,0.5104719911814811,-0.1728641288505148,0.97220576,-92.313835,-97.96665,0.03328520634057887,A3,concat,2,123,"[""price"", ""news""]",37633,10972,9979,114851,43,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",442.1073331832886
0.4936962177306384,0.5095977299282257,0.5899516908212561,0.5468386172308795,-0.02010768584513926,0.0005342647200450301,0.0231141670852538,0.018123982474207878,-0.013842344284057617,0.4899939963978387,-0.32513540100236304,0.9493299,-99.09208,-99.7153,0.002772741327555053,A3,concat,3,123,"[""price"", ""news""]",45822,12721,9994,114851,32,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",395.14191603660583
0.5104120513956579,0.5323468685478321,0.6451209341117597,0.5833333333333334,0.002992170270115273,0.00036885225563310087,0.019205526695019348,0.014884907752275467,-0.015396475791931152,0.5314576871953921,0.6203709406158444,1.1046332,2784.6936,-38.689987,0.009466033647527414,A3,concat,4,123,"[""price"", ""news""]",53235,15339,4514,114851,74,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",1059.3537259101868
