accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,best_val_mcc,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,target_type,sequence_modalities,elapsed_s
0.5111881188118812,0.546225614927905,0.4794342080774241,0.5106551689959362,0.0267195837875632,0.0011916067451238,0.0345196573726313,0.0234706215560436,-0.0021512508392333,0.5254455445544555,-0.0126040828424792,0.9976742,-24.159288,-97.67179,0.0245618090212202,A3,concat,0,42,"[""price"", ""news""]",22281,6372,10100,114851,43,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",239.06536388397217
0.5366967820525835,0.550864962561322,0.797272047832586,0.6515498549396854,0.0291517839161762,0.0005222908803261,0.0228536841740272,0.0176192242652177,-0.0009676218032836,0.5469495482692113,1.3660018165250354,1.2477775,25659376000.0,-53.335167,0.0466706364657821,A3,concat,1,42,"[""price"", ""news""]",29639,9112,9851,114851,55,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",412.0633332729339
0.4984467381501152,0.5087213492864351,0.6884510339445962,0.5850949183453535,-0.0149778915458823,0.0005664021591655,0.0237992050112097,0.0182743072509765,-0.0159980058670043,0.5071650465978556,-0.2259659632182837,0.96382356,-96.50482,-99.36353,0.0376028201202955,A3,concat,2,42,"[""price"", ""news""]",37633,10972,9979,114851,47,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",440.4152009487152
0.4915949569741845,0.5170043415340086,0.2761352657004831,0.3599949615820632,-0.0009977607304412,0.0005855434574186,0.0241980052363553,0.0185216683894395,-0.1111509799957275,0.5150090054032419,0.6098775264193698,1.102457,673194.44,-56.915295,0.0089625958203926,A3,concat,3,42,"[""price"", ""news""]",45822,12721,9994,114851,31,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",357.9648790359497
0.5035445281346921,0.5304617772603802,0.5700583819849875,0.5495477386934673,-0.0017898800886882,0.0003724436974152,0.0192988004138934,0.014985634945333,-0.0252832174301147,0.5203810367744794,0.3007064060793527,1.0494162,410.68454,-43.438,0.0079299260057327,A3,concat,4,42,"[""price"", ""news""]",53235,15339,4514,114851,73,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",965.9102120399476
0.51,0.5505243088655862,0.4299274148520379,0.4828090709583028,0.0313307457490039,0.0012518926523625,0.0353820950815887,0.0242234990000724,-0.0528521537780761,0.477029702970297,-0.47502678725225,0.9159687,-99.99701,-99.998436,0.0039321679370308,A3,concat,0,123,"[""price"", ""news""]",22281,6372,10100,114851,32,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",181.19399189949036
0.5215714140696376,0.555671719811814,0.5958520179372198,0.575060860156884,0.029353371228806,0.0005227859946899,0.0228645138739031,0.0177190657705068,-0.0019165277481079,0.5464419855852197,1.3086391357048506,1.2362239,11443081000.0,-55.905403,0.0405054432143552,A3,concat,1,123,"[""price"", ""news""]",29639,9112,9851,114851,53,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",412.9616990089417
0.4843170658382603,0.4979927739863509,0.4840031213421771,0.4908982983775227,-0.0313365099677575,0.0005607155617326,0.0236794333068308,0.0182747989892959,-0.0057975053787231,0.489728429702375,-0.3138319261231678,0.9501121,-99.05093,-99.482956,0.0297607089996028,A3,concat,2,123,"[""price"", ""news""]",37633,10972,9979,114851,34,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",339.41535806655884
0.4996998198919352,0.5213779623747862,0.4123671497584541,0.4605092792403971,0.005945665568307,0.0005601348238997,0.0236671676357716,0.0183219034224748,-0.0629345178604126,0.4911947168300981,-0.438431003763616,0.9322828,-99.8234,-99.9192,0.0036135559884648,A3,concat,3,123,"[""price"", ""news""]",45822,12721,9994,114851,31,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",363.5303580760956
0.4984492689410722,0.524578136463683,0.5963302752293578,0.5581576893052302,-0.0164741588420945,0.0003668607387226,0.0191536090260453,0.0148816294968128,-0.0099141597747802,0.5281346920691183,0.4396869881270239,1.0730743,984.51917,-58.344036,0.007983050366795,A3,concat,4,123,"[""price"", ""news""]",53235,15339,4514,114851,53,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",754.8440010547638
