accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,best_val_mcc,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,target_type,sequence_modalities,elapsed_s
0.5216831683168317,0.5461512261580381,0.5968732551647125,0.5703868385949311,0.033469332178381266,0.001192380441352725,0.03453086215768041,0.023439116775989532,-0.0028018951416015625,0.5355445544554456,0.4764420870981553,1.092026,3.4487672e+06,-89.1238,0.02413315397871854,A3,concat,0,42,"[""price"", ""news""]",22281,6372,10100,131235,46,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",256.453156709671
0.526545528372754,0.5491850157277667,0.7176756352765321,0.6222258221286247,0.01850040646421066,0.0005234483978711069,0.022878994686635748,0.017670853063464165,-0.0031859874725341797,0.5407572835245152,1.0012127682742107,1.176119,1.4930446e+08,-64.73073,0.034111105841847275,A3,concat,1,42,"[""price"", ""news""]",29639,9112,9851,131235,60,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",450.0584571361542
0.5015532618498848,0.5098855359001041,0.7647288333983613,0.6118308100515062,-0.013902447050633506,0.0005765935638919473,0.024012362730309305,0.018388355150818825,-0.0342789888381958,0.48311454053512376,-0.17242923424833,0.9722747,-92.264046,-95.74208,0.02490144078604703,A3,concat,2,42,"[""price"", ""news""]",37633,10972,9979,131235,35,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",330.4455449581146
0.4932959775865519,0.5130927105449399,0.42028985507246375,0.46207775653282346,-0.008103459469320484,0.0008279259782284498,0.02877370289393511,0.022428151220083237,-0.5711057186126709,0.4816890134080448,-0.5696935372083853,0.91291374,-99.97347,-99.98325,0.0001474193882009494,A3,concat,3,42,"[""price"", ""news""]",45822,12721,9994,131235,31,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",359.57368206977844
0.5086397873283119,0.5378787878787878,0.5329441201000834,0.5354000837871805,0.014032621309943387,0.0003638341440819204,0.01907443692699526,0.014909871853888035,-0.0015823841094970703,0.525254762959681,0.412343211778968,1.0683777,835.18994,-67.52657,0.013750092091130296,A3,concat,4,42,"[""price"", ""news""]",53235,15339,4514,131235,46,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",608.5978450775146
0.5052475247524753,0.5464426877470355,0.4116880699795273,0.46958921558220995,0.023704675147949862,0.001189565402455628,0.034490076869378355,0.023493845015764236,-0.0004343986511230469,0.5283168316831683,-0.009887721340466133,0.998175,-19.50214,-99.30789,0.012400764566630253,A3,concat,0,123,"[""price"", ""news""]",22281,6372,10100,131235,43,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",244.13042306900024
0.5358846817581971,0.5478410206084396,0.8344544095665172,0.6614336492890995,0.019990414757046618,0.0005226091598160565,0.022860646531016056,0.017720168456435204,-0.001577615737915039,0.5429905593340778,1.3396888598412007,1.2424641,1.7718086e+10,-36.745026,0.04520968106179313,A3,concat,1,123,"[""price"", ""news""]",29639,9112,9851,131235,42,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",317.2214550971985
0.4957410562180579,0.5065679150363331,0.7071790870074132,0.5902947402703143,-0.022651209399467378,0.0005589538486674428,0.02364220481823645,0.01824268326163292,-0.0026373863220214844,0.502154524501453,-0.26235525456289016,0.95812136,-97.96307,-99.43753,0.03544012380956675,A3,concat,2,123,"[""price"", ""news""]",37633,10972,9979,131235,38,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",373.75797605514526
0.5119071442865719,0.5186581228797588,0.7976811594202898,0.6285975331201462,0.0033539756062026605,0.0005269991233944893,0.02295646147372215,0.018054012209177017,-5.4836273193359375e-05,0.5191114668801281,0.6541267807429444,1.1102879,1.2748764e+06,-80.555275,-0.0021740071242207296,A3,concat,3,123,"[""price"", ""news""]",45822,12721,9994,131235,34,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",408.62746000289917
0.49291094373061584,0.5312679288582903,0.3861551292743953,0.44723496739917895,5.049991314365423e-05,0.00036418522358871996,0.01908363758796315,0.014910068362951279,-0.002548813819885254,0.5283562250775365,0.47817303148297297,1.0797198,1235.8866,-54.732983,0.009087133863335713,A3,concat,4,123,"[""price"", ""news""]",53235,15339,4514,131235,43,20,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",601.5042359828949
