accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,best_val_mcc,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,target_type,sequence_modalities,elapsed_s
0.5200990099009901,0.5484882005899705,0.5536943979155035,0.5510790034268779,0.03563175957923845,0.001188546884804964,0.03447530833516887,0.02345369942486286,0.000422060489654541,0.5372277227722773,0.25954396315060274,1.0491189,29596.662,-84.62077,0.023151692879733045,A3,concat,0,42,"[""price"", ""news""]",23116,6372,10100,62819,51,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",393.7071590423584
0.5360877068317937,0.544634703196347,0.8914424514200299,0.6761621315192744,0.00762045869802328,0.0005862925318069756,0.024213478308722513,0.018151812255382538,-0.1236264705657959,0.5341589686326261,1.0438915764384682,1.1842836,2.7299616e+08,-51.718987,0.07295724265577609,A3,concat,1,42,"[""price"", ""news""]",30474,9112,9851,62819,31,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",312.5502426624298
0.5022547349433811,0.5114470842332614,0.6929379633242294,0.5885179355480076,-0.006755309666620671,0.0005586443585343659,0.02363565862281747,0.0182210560888052,-0.002082228660583496,0.5094698867622006,0.005033376759214948,1.000821,7.757306,-83.69069,0.04530839079858236,A3,concat,2,42,"[""price"", ""news""]",38468,10972,9979,62819,35,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",435.0441930294037
0.51240744446668,0.5241909644344761,0.6322705314009662,0.5731803450994132,0.016469324090039886,0.0005321789649315178,0.023069004420033342,0.018076732754707336,-0.009884357452392578,0.5161096657994797,0.4948272061389399,1.082355,127786.72,-71.30607,0.011430589943733438,A3,concat,3,42,"[""price"", ""news""]",46657,12721,9994,62819,84,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",1121.2998299598694
0.4995569339831635,0.5236797274275979,0.6409507923269391,0.5764110256891055,-0.020644701069593503,0.0003721702378243208,0.019291714227209586,0.015031409449875355,-0.024530410766601562,0.5155073105892778,0.18314578769659873,1.0298123,169.99123,-68.39708,0.01744224698608194,A3,concat,4,42,"[""price"", ""news""]",54070,15339,4514,62819,96,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",957.5690791606903
0.5165346534653465,0.5460180315552217,0.541038525963149,0.5435168738898757,0.029703464367804702,0.0011955780209973454,0.03457713147439136,0.023453783243894577,-0.005491137504577637,0.5232673267326733,0.07673485803408132,1.014277,438.4612,-96.93947,0.03159313617601439,A3,concat,0,123,"[""price"", ""news""]",23116,6372,10100,62819,74,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",316.7111620903015
0.5415693838189016,0.5621838738470694,0.7060911808669657,0.6259731654795428,0.05557949286455993,0.0005226055509410799,0.02286056759883883,0.017733076587319374,-0.0015707015991210938,0.5444117348492539,1.2636835472599142,1.2272446,6.07413e+09,-39.28035,0.05609167411786592,A3,concat,1,123,"[""price"", ""news""]",30474,9112,9851,62819,52,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",295.9793219566345
0.500050105220964,0.5110323723626993,0.6190011705033164,0.5598588442876048,-0.0067948597822574345,0.0005667599034495652,0.02380671971208056,0.018300559371709824,-0.0166395902633667,0.5044593646657982,-0.13402809705570526,0.97838205,-86.321976,-98.747116,0.048746542741226084,A3,concat,2,123,"[""price"", ""news""]",38468,10972,9979,62819,71,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",503.3843672275543
0.5029017410446268,0.513677811550152,0.7511111111111111,0.6101083032490975,-0.01460444102468972,0.0007530387374572456,0.02744155129465617,0.02114799991250038,-0.4289966821670532,0.5170102061236742,0.5908302782769586,1.0991033,511376.84,-65.03613,0.011008437010388561,A3,concat,3,123,"[""price"", ""news""]",46657,12721,9994,62819,32,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",275.7350471019745
0.5050952591936199,0.5269205515430072,0.6693077564637198,0.5896399706098457,-0.012457259340986312,0.0003743585548363626,0.01934834759963658,0.015013868920505047,-0.030554533004760742,0.5239255649091714,0.3531822293599477,1.0582868,578.69507,-64.35188,0.01465704294083661,A3,concat,4,123,"[""price"", ""news""]",54070,15339,4514,62819,108,1,0.005,64,30,1.0,64,0.0001,0.5,direction,"[""price""]",1072.6477298736572
