experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha,quantile_coverage_80,quantile_interval_width
v3_a4_retest_A4,121c91de6cd6feac8b56eb7093e4e2f9bd61ff9a3bc07e0623381028173e10b4,789,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.018233122422156984,0.47297029702970295,0.26871823052617116,-0.03307116248413444,0.035048138022390374,-0.697345808557817,0.023191266162432767,0.15444271364117523,23076,6372,10100,225185,38,0.0060455651627590425,1261.6713440418243,,,0.7205940594059406,1.5158621212243737
v3_a4_retest_A4,1e23672e8c5ca4ddd3a3ba461130420228a8dd8c8610bcdaefc97550d7f7677a,1000,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.003360616124635448,0.48396039603960395,0.35860201821314297,-0.08917576708509234,0.03598726287239396,-0.34587496871323264,0.02407499688090263,0.0887729679183421,23076,6372,10100,225185,44,0.005994741240183356,1459.24658203125,,,0.6850495049504951,1.3815185452330798
v3_a4_retest_A7,2945dc348a9bf420150cc7519556b2fca61b750bec75fe0f790ad2efeae79bac,1000,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.012604863835015807,0.5323762376237624,0.6899494518479617,-0.0487221084168179,0.03531262828792442,0.1083849209533287,0.025499305092061764,-0.02223514033568108,23076,6372,10100,195021,63,0.005759111117457296,1717.7801971435547,,,0.5421782178217822,1.0702022997787386
v3_a4_retest_A7,4cea9ae335cca4ae60c7b2f504154401f4fe68d655361a42dc046f7cb99cfd95,789,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.01725300992684879,0.5141584158415842,0.566557724582634,-0.04160212787269435,0.03519255194788546,0.1857415652099291,0.026218457338636602,-0.0807080471587891,23076,6372,10100,195021,76,0.005827379096920584,2069.3662848472595,,,0.5396039603960396,1.0767600277587026
v3_a4_retest_A4,40cf4996e2ca205d1f73603e32b374f15435a5c30b1f4431909234f06f42ed2a,1234,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.0022441206785915584,0.5318811881188119,0.6937030318735423,-0.07225768784649933,0.03570667539835219,0.13104541497390715,0.024281661809750194,0.07306148479089958,23076,6372,10100,225185,45,0.00581901370263607,1493.1587989330292,,,0.6220792079207921,1.3073622650714882
v3_a4_retest_A7,81d59dd6118e18dc991358cca811c6be4550457e89a059cb585f72bd798babca,1234,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.014984778317774356,0.49415841584158415,0.3930141380539385,-0.014152706818282956,0.034725739915718194,-0.11430060842731976,0.025413619535388825,-0.015376630218759013,23076,6372,10100,195021,64,0.00571670911495696,1751.2386677265167,,,0.5033663366336634,1.0065324845986603
v3_a4_retest_A4,8735254d6c55150b4d094a283732f1e3bb7050cb638d2de74a31cc313f05ab27,5678,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.0008095912080953088,0.5312871287128713,0.6921175858480749,-0.20014004818885933,0.03777598482188159,0.1166758902850064,0.02496242581738645,0.020357336730928877,23076,6372,10100,225185,37,0.005952693007148893,1224.390711069107,,,0.7034653465346534,1.5243233648832097
v3_a4_retest_A7,1dcb532afb63f0a84b68843f4bbf2c90929e12c129e94008fab440139ec4b5cd,5678,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.02295729851148368,0.5296039603960396,0.6539946107348337,-0.010927037910158699,0.03467047065006722,0.23883369410713737,0.023923861009584824,0.10017789659331044,23076,6372,10100,195021,58,0.005523474114959152,1585.7726809978485,,,0.650990099009901,1.2932320816817375
v3_a4_retest_A4,e7ff1b561c11baf24b9e604ce3864fc3ef781c434d8ee04119db97c356e5ad35,9999,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.008182505894842429,0.48297029702970296,0.37235576923076924,-0.11442994913843818,0.03640208157176907,-0.4679458169682989,0.024727506507037277,0.038709245359447975,23076,6372,10100,225185,39,0.005869387616168085,1326.23060297966,,,0.767029702970297,1.736981808415737
v3_a4_retest_A7,150e15dbd94ab72345f460e9fa08d9c6accce6d59709d76ebd4f79d7ed0e1b4e,9999,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.013095748696313844,0.5087128712871287,0.6098443151438906,-0.024267784484420796,0.034898486116055116,0.09621350721710835,0.024419778894944514,0.06248641288310863,23076,6372,10100,195021,57,0.005701103401091183,1599.562232017517,,,0.6352475247524753,1.244259380728683
v3_a4_retest_A4,7408ad2be1d49cb88a47c871b0e847df93a472028de7a30533b2b755ca3b5fa7,789,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.0179562081647939,0.523398639732007,0.6082603254067585,-0.05166939836771167,0.02342533680174457,0.5680934131469076,0.01678448517592711,-0.3564956634970069,30436,9112,9851,225185,33,0.008968919687304455,1502.4042708873749,,,0.7831692213988427,2.642555870504688
v3_a4_retest_A7,2a06ea9721d173376b901e65767e2eea7747b9e32f737bb90d7974a8572662e9,789,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.04992093320981976,0.5256319155415694,0.549155812831645,-0.08290814240218869,0.023770703494570028,0.6215584463961399,0.014493669137229067,-0.011484066773723711,30436,9112,9851,195021,47,0.008942758911815648,1753.3354177474976,,,0.6430819206171963,1.7688159814818034
v3_a4_retest_A4,403fb928331d5b1d6b4c745161e92a4c8df348677134bb837f2bbb5ebff19353,1000,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.020849245355179003,0.46452136838899605,0.2627533193570929,-0.047600672136362876,0.023379978608890364,-1.0334079483351821,0.014381038899526358,0.004175327621715463,30436,9112,9851,225185,36,0.00904790715070272,1605.786277294159,,,0.8100700436503908,2.2693806196844886
v3_a4_retest_A7,d7d29d9b5daad3f23efe51d166f8bf031d53ff6c99b383dc910b7978e07e035c,1000,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.035419029432186486,0.5457313978276317,0.6882184909078242,-0.056359178969514145,0.023477509797568356,1.3464467860661682,0.014470993173920858,-0.008321522783068191,30436,9112,9851,195021,50,0.0088805940042238,1839.358638048172,,,0.603695056339458,1.5642044893584335
v3_a4_retest_A4,c21f1f06b1a1fabc296a6a2cd4efa7ff89a9c08c80d778b0a4f265699c73c0a1,1234,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.019357468993527676,0.5252258653943762,0.6144588244992168,-0.033369438693837905,0.023220631793680387,0.6265762695863758,0.013849390347693046,0.07644306821514701,30436,9112,9851,225185,40,0.0087886393182898,1772.2434389591217,,,0.7696680540046695,2.1217688339268492
v3_a4_retest_A7,6e89702963ed7d8ca255ed8021bd233300c2368127760d325378b116b6aefe1e,1234,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.02252296756652519,0.4975129428484418,0.5598434999110794,-0.014498935344082975,0.02300763733629394,0.1926834454500383,0.014700838401615948,-0.040606579106908125,30436,9112,9851,195021,62,0.008942272769618589,2261.410267829895,,,0.5358846817581971,1.4182264788480319
v3_a4_retest_A4,f7fa869c7c3bece01f601be0bcd8b96ce1321086c0c294a8a68de72d79e3c180,5678,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.07475876274944224,0.5405542584509186,0.5757405324334458,-0.0032100053910466553,0.02287926943352961,1.0085857802591192,0.015606792308305186,-0.17281540518456984,30436,9112,9851,225185,36,0.009025676750049162,1597.4233038425446,,,0.838392041417115,2.5536406066423503
v3_a4_retest_A7,1686bf044ff61452cc17c681e0a8faa8e496dbfb6413828d9aa17d133c27d8af,9999,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.012443216379415478,0.5383209826413562,0.694478033051189,-0.041522687580371365,0.023312056801085085,1.2694243854545668,0.013929471734275478,0.06573161498606428,30436,9112,9851,195021,48,0.008872665966021001,1744.5196270942688,,,0.6369911684092986,1.787043598252192
v3_a4_retest_A7,fa8f05dde76b9aff98685bebaabedf03a08add0ca224c0e504e924721bf6a24e,5678,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.00013101813066683897,0.535478631611004,0.6804022908227406,-0.0018750455718019587,0.022864041777923595,1.1059216873357287,0.014023447507307378,0.05308292825144523,30436,9112,9851,195021,69,0.008573006256664914,2519.5575799942017,,,0.6372957060196934,1.671546299324763
v3_a4_retest_A4,a0c3eeed69a5a82df83832bc5861fd401e9bc36a3265da7737a46febf3be0d54,9999,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.061430620028190795,0.49406151659729974,0.28820337046558125,-0.06596170094324649,0.02358397608865736,-0.32160525905295884,0.014496743925626374,-0.01191327891348748,30436,9112,9851,225185,38,0.008972989930375746,1677.2810530662537,,,0.614759922850472,2.224623918623876
