experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha,quantile_coverage_80,quantile_interval_width
v3_m8_A4,1c62c7e28dc6737b8d5c431affa8276cca1576a5d90b224787fc29122aea9bc9,42,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.030935342691533717,0.5264356435643565,0.6124929109616787,-0.0013051218922397467,0.03450508089893804,0.31115445280945875,0.02516270980132116,0.004574106268619538,23076,6372,10100,225185,42,0.005691769932525621,2144.2281749248505,,,0.6048514851485148,1.1669786945793477
v3_m8_A2,b520fdeceadb1622cb3b5047146f09109626fecb8f3ee63456df7a12d06f0167,42,0,qwen3_embedding,arithmetic_mean,tft,quantile,"return,direction,volatility",none,60,tft,0.010482616112450396,0.5304497330558321,0.6915165566850959,-0.12656890514373242,0.03657386219917386,0.3243401843003721,0.02543771297203135,-0.018111345159283587,24047,6796,11051,254961,42,0.0061030678504397145,2492.9470131397247,,,0.4806804814043978,1.10271943968151
v3_m8_A1,cf7f43168e5c05e4c020bd251e358bbdf30ecfcaf19afeb657d83bc6464a5642,42,0,qwen3_embedding,arithmetic_mean,tft,quantile,"return,direction,volatility",none,60,tft,0.003035308119133855,0.5278255361505746,0.6816351433801098,-0.1063871902457274,0.03624478381525798,0.2427342124412402,0.024802723000390634,0.032083534539322,24047,6796,11051,277701,42,0.0057068837779140225,2732.728451013565,,,0.7212921907519682,1.5302900665531192
v3_m8_A5,7cf2d4adeb1c4fe2c3a1369b1677f961962d5cd6edb283852be4aec5e7e2300f,42,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.008024559450594593,0.5314851485148515,0.6883561643835617,-0.12897551967265453,0.03663887191606425,0.09908177401402181,0.025223325074657552,-0.0002274980272718441,23076,6372,10100,247793,37,0.005686203279760208,1727.200796842575,,,0.6707920792079208,1.410556644696394
v3_m8_A6,06fbc0371727075bd1923fc55ab2db195851a56dd28adebdbcef4740549c1c6b,42,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.009631844861339313,0.5166336633663366,0.6046323291221251,-0.012183993619958589,0.03469201805485086,-0.02713789923776861,0.024627013471094087,0.046506774649586746,23076,6372,10100,225889,41,0.0057895671743276944,1707.6125838756561,,,0.6397029702970297,1.2888739571072931
v3_m8_A7,f42be4818afa3fe0bbef1bdaff52cc2db5153e69a6e60e2dc2aa6382fda1186c,42,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.018515264848693223,0.5131683168316832,0.555223880597015,-0.027180985981526185,0.03494807965831024,0.2732069512317945,0.024530206761325116,0.053988243838898886,23076,6372,10100,195021,77,0.005635037303533012,2484.4531149864197,,,0.685940594059406,1.3852960855894139
v3_m8_A3,698fd188adcf49a38f2a1f89f128d83825bd670e3d2c6b839b625e43042ef145,42,0,qwen3_embedding,arithmetic_mean,tft,quantile,"return,direction,volatility",none,60,tft,0.025141076953670658,0.5179621753687449,0.5711295386844859,-0.028390831436341024,0.0349438733232683,0.6344612117362193,0.02547447805169374,-0.021056420779001606,24047,6796,11051,233057,113,0.005770732724118628,5227.170007944107,,,0.6449190118541308,1.279671751408173
v3_m8_A9,b0655fdce8e062778c0e9c3763bb9d847136b1df2414ad5fc6c9ef870ef4b597,42,0,none,none,tft,quantile,"return,direction,volatility",static_gics,60,tft,-0.005078095456621914,0.5202970297029703,0.6518646259969821,-0.10009387409609705,0.036167184720231386,0.07271109265794284,0.024772269606956502,0.03522573180318922,23076,6372,10100,250737,41,0.0059981285618139904,1628.724364042282,,,0.681980198019802,1.5619720456044202
v3_m8_A8,70d3d475f2bd09fe2d9708d857dee020702950554ac9955730f036d0522be154,42,0,none,none,tft,quantile,"return,direction,volatility",static_gics,60,tft,0.03153211546944257,0.5320792079207921,0.6507021433850702,-0.013474051858437752,0.03471411901315533,0.3272278100134633,0.023496673986792452,0.13202563638683862,23076,6372,10100,228833,59,0.005643472788035192,2117.796442270279,,,0.6666336633663367,1.4270037244820757
v3_m8_A2,6a8373edec829613020cefeadfa227a0e61bb56074f8a6a852db6b844935a78a,123,0,qwen3_embedding,arithmetic_mean,tft,quantile,"return,direction,volatility",none,60,tft,-0.002012860450206372,0.5102705637498869,0.5975011155734047,-0.07089873818588655,0.035658752674916035,0.053956098917374205,0.023926518926288307,0.09926261811104764,24047,6796,11051,254961,41,0.005885917737840479,1674.2417039871216,,,0.7569450728440865,1.7888384995766982
v3_m8_A1,94a4bf50cf109efc6b34f7a7d1e5065ba2e7d1648e8c454eacf70d184fe47d68,123,0,qwen3_embedding,arithmetic_mean,tft,quantile,"return,direction,volatility",none,60,tft,0.01844509244812121,0.5309021807981178,0.6926360725720384,-0.34399424172848403,0.03994759592522903,0.32663253860157637,0.024287859138796362,0.0718511676646375,24047,6796,11051,277701,43,0.0060569124590559445,1953.339894771576,,,0.6835580490453352,1.5163787678104619
